property_id,crawl_date,street_address,suburb,post_code,bed,bathroom,car,property_type,price,price_des,date_available,title,description,bond,allowance,indoor_feature,outdoor_feature,other_feature,floorplan,agency,agent,url
[420165518],"[datetime.date(2019, 2, 23)]",49 Prosser Street,Riverhills,4074,[4],[3],[3],House,"[550.0, 550.0, 0]",$550 per week,Thu 28-Feb-19,Spacious Beauty in Riverhills!,"If space is what your family needs, then call us today.",[2200.0],Pet Friendly,"Toilets:,3,Air Conditioning","Carport Spaces:,1,Open Car Spaces:,2","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",Not provided,Ray White - Middle Park,Jacqui Price,https://www.realestate.com.au/property-house-qld-riverhills-420165518
[404526763],"[datetime.date(2019, 2, 23)]",,Riverhills,4074,[3],[1],[1],House,"[365.0, 365.0, 0]",$365 Weekly,Fri 01-Mar-19,GREAT VALUE,"Neat and tidy three bedroom home in great location. Large open plan lounge / dining area - separate  updated kitchen with dishwasher, separate laundry, and internal access from garage.",[310.0],,,"Garage Spaces:,1",,Not provided,Centenary Real Estate - Jindalee,Rentals - Centenary Real Estate,https://www.realestate.com.au/property-house-qld-riverhills-404526763
[425537826],"[datetime.date(2019, 2, 23)]",69 Hazelton Street,Riverhills,4074,[3],[1],[3],House,"[390.0, 390.0, 0]",$390,Available Now,Looking for a new family to love with Solar Benefits,"The owners have renovated this home with its new kitchen, tiles in the living areas and timber flooring in the bedrooms, freshly painted and modern light fitting and blinds.",[1560.0],,"Living Areas:,1,Built-in Wardrobes","Garage Spaces:,1,Open Car Spaces:,2",Property Type: House Garaging / carparking: Single lock-up Living area: Open plan,Not provided,NGU - South West,NGU South West Rentals,https://www.realestate.com.au/property-house-qld-riverhills-425537826
[417318510],"[datetime.date(2019, 2, 23)]",12 ATHOS STREET,Riverhills,4074,[5],[3],[2],House,"[500.0, 500.0, 0]",$500 Weekly,Wed 20-Mar-19,A CHARMING FAMILY HOME WITH PERSONALITY!,"This is a light and airy 5 bed room family home spread over 3 levels, with 2 large living areas, large back yard and a beautiful pool.  The high ceilings, open plan, living kitchen and dining areas that flow onto a generous deck and back yard provides a large sense of space- An entertainers delight.  The pool is the icing on the cake!! ",,,,"Carport Spaces:,2",,Not provided,Centenary Real Estate - Jindalee,Rentals - Centenary Real Estate,https://www.realestate.com.au/property-house-qld-riverhills-417318510
[425916210],"[datetime.date(2019, 2, 23)]",51A Sawmill Cct,Riverhills,4074,[3],[2],[1],Duplex/Semi-Detached,"[430.0, 430.0, 0]",$430 p/w,Thu 14-Mar-19,BEAUTIFUL ALMOST NEW DUPLEX!  AVAILABLE 14TH MARCH 2019!,"This beautiful near new duplex is located in the  highly sought after and peaceful suburb of Riverhills. 51A  contains 3 Bedrooms, 2 Bathrooms with a Master Ensuite and 1 lock up garage with internal access. Open plan living with elegant outdoor entertaining area and a maintenance free fully fenced garden.",[1720.0],Pet Friendly,,"Garage Spaces:,1",,Not provided,Optime Properties - RIVERHILLS,Steve Hoo,https://www.realestate.com.au/property-duplex+semi+detached-qld-riverhills-425916210
[409376187],"[datetime.date(2019, 2, 23)]",85/250 Sumners Road,Riverhills,4074,[2],[2],[2],Townhouse,"[355.0, 355.0, 0]",$355 per week,Thu 28-Feb-19,GATED COMMUNITY WITH POOL + TENNIS COURT - 2  BED.  2.5 BATH.  AIRCON.  SINGLE GARAGE,MEET RAY WHITE REP AT THE FRONT GATES - CENTENARY PLACE TOWNHOUSE ,[1420.0],,"Toilets:,3,Air Conditioning","Secure Parking,Garage Spaces:,1,Open Car Spaces:,1,Swimming Pool - Inground","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport",https://www.realestate.com.au/floorplan_new.ds?id=409376187&theme=rea.rent,Ray White - Centenary,Debbie Swales,https://www.realestate.com.au/property-townhouse-qld-riverhills-409376187
[425891434],"[datetime.date(2019, 2, 23)]",8 Girraween Close,Riverhills,4074,[4],[2],[2],House,"[460.0, 460.0, 0]",$460 p.w,Tue 26-Feb-19,Mediterranean Dream Home,"Yes! Sprawling Mediterranean dream situated on an elevated 655sqm parcel of land and adjoining river park gives you acreage living. This north west facing fantastic residence here is your chance secure an excellent opportunity, and is not to be missed. This open plan modern spacious residence offers 4 bedrooms, 2 bathrooms, spacious modern kitchen with ample storage space with gas and electrical appliances, master bedroom with ensuite and walk-in-robes, and other 3 additional spacious bedrooms, air conditioning and double lockup garage with internal access.",[1840.0],,"Ensuite:,1,Air Conditioning","Garage Spaces:,2,Outdoor Entertaining Area,Fully Fenced",,Not provided,NGU - South West,NGU South West Rentals,https://www.realestate.com.au/property-house-qld-riverhills-425891434
[425710058],"[datetime.date(2019, 2, 23)]",17 Bensley Place,Riverhills,4074,[4],[2],[2],House,"[420.0, 420.0, 0]",$420,Available Now,Established Family Home,"Situated in the popular Centenary suburbs with so much to offer, yet is less than 15kms from Brisbane's CBD.  Features of the property include",[1680.0],,"Ensuite:,1,Air Conditioning","Garage Spaces:,2",Property Type: House Garaging / carparking: Double lock-up,Not provided,NGU - South West,NGU South West Rentals,https://www.realestate.com.au/property-house-qld-riverhills-425710058
[425935862],"[datetime.date(2019, 2, 23)]",,Riverhills,4074,[3],[1],[1],House,"[365.0, 365.0, 0]",$365 per week,Sat 02-Mar-19,LOTS OF LIVING AREA,Available for viewing Friday 1st March. ,[1460.0],,,"Garage Spaces:,1",,Not provided,THEONSITEMANAGER - Hendra,Dave Cochrane,https://www.realestate.com.au/property-house-qld-riverhills-425935862
[425828366],"[datetime.date(2019, 2, 23)]",16 Konda Street,Riverhills,4074,[3],[1],[1],House,"[440.0, 440.0, 0]",$440 per week,Fri 08-Mar-19,Fresh on the Market - Get in quick!,Tidy low-set brick home in Riverhills is modern and tidy. ,[1760.0],,"Toilets:,1,Air Conditioning","Carport Spaces:,1","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",Not provided,Ray White - Middle Park,Jacqui Price,https://www.realestate.com.au/property-house-qld-riverhills-425828366
